City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Caravelas,BR,75.25,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
2,Sancti Spiritus,CU,82.49,light rain,21.9297,-79.4425,Hostal El Parque
3,Yining,CN,71.13,overcast clouds,29.0361,114.5636,Xiushui Hotel
8,Banikoara,BJ,85.17,overcast clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
9,Hithadhoo,MV,83.39,broken clouds,-0.6,73.0833,Scoop Guest House
12,Matara,LK,79.5,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
13,Mahebourg,MU,73.69,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
16,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
19,Labelle,US,88.03,clear sky,26.7617,-81.4384,Port LaBelle Inn
22,Kavaratti,IN,84.99,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
23,Grand Gaube,MU,73.8,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
26,Shahpura,IN,82.35,few clouds,27.3833,75.9667,Shahpura Haveli
31,George Town,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
35,Mogadishu,SO,81.36,light rain,2.0371,45.3438,Hotel Juba
39,Upata,VE,73.69,overcast clouds,8.0086,-62.3989,Posada Villa Nela
40,Mananjary,MG,71.65,light rain,-21.2167,48.3333,Vahiny Lodge
41,Sao Filipe,CV,73.63,clear sky,14.8961,-24.4956,Hotel Xaguate
42,Cayenne,GF,78.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
45,Lethem,GY,80.69,broken clouds,3.3803,-59.7968,Savannah Inn
52,Dalbandin,PK,82.87,clear sky,28.8947,64.4101,Sanjrani House
57,Samana,DO,80.56,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
58,Souillac,MU,73.78,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
63,Arraial Do Cabo,BR,73.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
68,Cabo Rojo,PR,82.09,broken clouds,18.0866,-67.1457,Hotel Perichi's
69,Kutum,SD,75.2,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
75,San Juan Del Sur,NI,89.82,scattered clouds,11.2529,-85.8705,Nuestra Casa
77,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
78,Hobyo,SO,82.6,few clouds,5.3505,48.5268,Iftin hotel hobyo
79,Laguna,US,78.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
80,Abonnema,NG,77.25,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
88,Saint-Pierre,RE,72.91,few clouds,-21.3393,55.4781,Alize Plage
90,Kourou,GF,78.12,overcast clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
93,Bubaque,GW,78.26,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
94,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
95,Riberalta,BO,84.4,few clouds,-10.9833,-66.1,Hotel Colonial
96,Buenaventura,CO,76.62,overcast clouds,3.8801,-77.0312,Hotel Victoria
97,Victoria,HK,78.19,overcast clouds,22.2855,114.1577,Mini Hotel Central
107,Pimentel,PE,70.09,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
111,Kontagora,NG,79.88,overcast clouds,10.3999,5.4695,Queens Guest Inn
116,Padang,ID,75.63,overcast clouds,-0.9492,100.3543,Mercure Padang
117,Shache,CN,71.74,overcast clouds,38.4167,77.2406,Delong Hotel
120,Khorramshahr,IR,82.36,clear sky,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
123,Riyadh,SA,82.54,scattered clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
124,Bambous Virieux,MU,73.65,few clouds,-20.3428,57.7575,Casa Tia Villa
125,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
133,Pucallpa,PE,82.44,broken clouds,-8.3791,-74.5539,Hotel Sol de Oriente - Pucallpa
135,Mecca,SA,75.29,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
138,Cartagena,CO,80.22,light intensity drizzle,10.3997,-75.5144,Hotel Colombia Real - Cartagena
150,Namibe,AO,74.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
154,Khash,IR,73.38,few clouds,28.2211,61.2158,خوابگاه آبجی محدثه
155,Sindgi,IN,87.66,broken clouds,16.9167,76.2333,A. A HOTEL
161,Itarema,BR,76.39,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
166,Sao Joao Da Barra,BR,72.84,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
168,Oriximina,BR,76.73,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
169,Flic En Flac,MU,73.96,clear sky,-20.2742,57.3631,Hilton Mauritius Resort & Spa
170,Banda Aceh,ID,80.42,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
172,Hambantota,LK,79.99,overcast clouds,6.1241,81.1185,Bungalow 63
174,Jacareacanga,BR,75.27,moderate rain,-6.2222,-57.7528,Casa do Ian😎
175,Bandarbeyla,SO,81.0,scattered clouds,9.4942,50.8122,JABIR HOTEL
176,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
177,Salalah,OM,82.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
179,Nawada,IN,83.14,clear sky,24.8833,85.5333,Hotal Rajshree International
180,Marawi,PH,71.46,broken clouds,7.9986,124.2928,Derogongan Residence
186,Port Blair,IN,81.36,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
187,Bonthe,SL,80.55,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
190,Dingle,PH,81.36,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
193,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
196,Takoradi,GH,76.3,overcast clouds,4.8845,-1.7554,Raybow International Hotel
199,Belmonte,BR,77.02,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
204,Sao Desiderio,BR,81.03,overcast clouds,-12.3633,-44.9733,Pousada do Luizão
208,Bom Jesus,BR,81.54,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
210,Tivaouane,SN,75.54,clear sky,14.9515,-16.8129,SOUNOU KEUR
215,Miandrivazo,MG,77.25,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
218,Moram,IN,88.74,overcast clouds,17.8,76.4667,Bangi Farm House Murum
221,Kapoeta,SS,81.32,broken clouds,4.7717,33.5903,Eastgate Hotel
226,Les Cayes,HT,79.5,clear sky,18.2,-73.75,Villa Orphee
233,Inirida,CO,74.12,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
238,Bengkulu,ID,76.03,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
239,Saint Anthony,US,71.96,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
241,Antalaha,MG,73.51,light rain,-14.9003,50.2788,Hotel Vitasoa
243,Macenta,GN,70.48,broken clouds,8.5435,-9.471,Hôtel Yansané
244,Puri,IN,80.51,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
246,Ajdabiya,LY,77.22,broken clouds,30.7554,20.2263,Almadina Hotel
247,Palasa,IN,79.74,scattered clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
248,Puerto Asis,CO,74.71,scattered clouds,0.5133,-76.5007,Ayawaska Hostal
252,Mumford,GH,75.83,overcast clouds,5.2618,-0.759,Spanish Villa
253,Mabaruma,GY,74.61,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
254,Dwarka,IN,81.86,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
256,Porbandar,IN,81.48,clear sky,21.6422,69.6093,Lords Inn Porbandar
258,Sumbe,AO,77.25,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
260,Itacare,BR,76.53,scattered clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
265,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
266,Labe,GN,76.69,broken clouds,11.3182,-12.2833,Hôtel Djamtum
270,Huntsville,US,71.56,broken clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
