City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Caravelas,BR,-17.7125,-39.2481,75.25,87,64,2.66,broken clouds
1,Derzhavinsk,KZ,51.1,66.3167,42.71,44,95,13.33,overcast clouds
2,Sancti Spiritus,CU,21.9297,-79.4425,82.49,66,33,6.73,light rain
3,Yining,CN,29.0361,114.5636,71.13,80,100,0.83,overcast clouds
4,Pervoye Maya,RU,56.164,44.7196,39.31,76,47,7.87,scattered clouds
5,Ushuaia,AR,-54.8,-68.3,42.46,65,40,20.71,scattered clouds
6,Arrecife,ES,28.963,-13.5477,66.18,82,20,13.8,few clouds
7,Boda,CF,4.3189,17.4695,71.85,95,99,2.04,light rain
8,Banikoara,BJ,11.2985,2.4386,85.17,54,98,7.65,overcast clouds
9,Hithadhoo,MV,-0.6,73.0833,83.39,76,82,15.37,broken clouds
10,Kruisfontein,ZA,-34.0033,24.7314,59.81,83,96,11.14,overcast clouds
11,Taltal,CL,-25.4,-70.4833,62.06,86,100,2.64,overcast clouds
12,Matara,LK,5.9485,80.5353,79.5,90,100,9.01,overcast clouds
13,Mahebourg,MU,-20.4081,57.7,73.69,73,20,6.91,few clouds
14,Vila Velha,BR,-20.3297,-40.2925,76.95,73,75,11.5,broken clouds
15,Amapa,BR,1.0,-52.0,73.36,98,100,3.74,overcast clouds
16,Maceio,BR,-9.6658,-35.7353,78.24,78,0,5.75,clear sky
17,Hermanus,ZA,-34.4187,19.2345,55.8,87,100,9.15,moderate rain
18,Vestmannaeyjar,IS,63.4427,-20.2734,41.23,64,60,14.41,broken clouds
19,Labelle,US,26.7617,-81.4384,88.03,46,1,12.82,clear sky
20,East London,ZA,-33.0153,27.9116,67.73,77,96,12.75,overcast clouds
21,Boddam,GB,57.4667,-1.7833,50.38,83,28,10.33,scattered clouds
22,Kavaratti,IN,10.5669,72.642,84.99,68,95,11.72,overcast clouds
23,Grand Gaube,MU,-20.0064,57.6608,73.8,67,58,18.95,broken clouds
24,Bredasdorp,ZA,-34.5322,20.0403,56.16,90,100,3.15,light rain
25,Jamestown,US,42.097,-79.2353,58.59,81,100,16.11,overcast clouds
26,Shahpura,IN,27.3833,75.9667,82.35,30,11,4.81,few clouds
27,Korla,CN,41.7597,86.1469,67.86,44,28,12.24,scattered clouds
28,Livingstone,ZM,-17.8419,25.8543,65.79,60,65,1.21,broken clouds
29,Qaanaaq,GL,77.484,-69.3632,17.13,85,100,5.86,overcast clouds
30,Ancud,CL,-41.8697,-73.8203,52.18,91,100,9.93,overcast clouds
31,George Town,MY,5.4112,100.3354,84.13,92,20,3.44,few clouds
32,Walkerburn,GB,55.6236,-3.017,50.43,94,54,5.23,broken clouds
33,Busselton,AU,-33.65,115.3333,55.36,61,0,7.74,clear sky
34,Dikson,RU,73.5069,80.5464,18.34,95,100,12.95,light snow
35,Mogadishu,SO,2.0371,45.3438,81.36,81,70,15.17,light rain
36,Talnakh,RU,69.4865,88.3972,7.45,95,99,2.55,overcast clouds
37,Port Alfred,ZA,-33.5906,26.891,65.17,85,92,4.0,overcast clouds
38,Upernavik,GL,72.7868,-56.1549,10.04,84,1,6.15,clear sky
39,Upata,VE,8.0086,-62.3989,73.69,88,90,6.29,overcast clouds
40,Mananjary,MG,-21.2167,48.3333,71.65,92,22,3.87,light rain
41,Sao Filipe,CV,14.8961,-24.4956,73.63,79,1,10.51,clear sky
42,Cayenne,GF,4.9333,-52.3333,78.1,1,75,1.99,broken clouds
43,Chuy,UY,-33.6971,-53.4616,57.97,82,0,0.81,clear sky
44,Pisco,PE,-13.7,-76.2167,69.85,73,0,14.97,clear sky
45,Lethem,GY,3.3803,-59.7968,80.69,74,55,9.17,broken clouds
46,Yar-Sale,RU,66.8333,70.8333,4.57,97,51,9.95,broken clouds
47,Cape Town,ZA,-33.9258,18.4232,57.61,90,75,18.41,broken clouds
48,Geraldton,AU,-28.7667,114.6,55.81,54,0,12.66,clear sky
49,Gueret,FR,46.1667,1.8667,46.15,95,29,1.95,scattered clouds
50,Skjervoy,NO,70.0311,20.9714,44.6,83,100,10.85,overcast clouds
51,Bereda,ES,43.2686,-7.5406,52.41,94,90,5.26,overcast clouds
52,Dalbandin,PK,28.8947,64.4101,82.87,17,2,5.1,clear sky
53,Apucarana,BR,-23.5508,-51.4608,66.33,90,7,2.17,clear sky
54,Torbay,CA,47.6666,-52.7314,37.27,92,100,11.5,light shower snow
55,Zherdevka,RU,51.8486,41.4606,40.06,62,0,5.73,clear sky
56,Naujamiestis,LT,55.6869,24.1523,44.96,91,19,7.38,few clouds
57,Samana,DO,19.2056,-69.3369,80.56,84,23,7.58,few clouds
58,Souillac,MU,-20.5167,57.5167,73.78,73,20,6.91,few clouds
59,Skelleftea,SE,64.7507,20.9528,46.99,53,100,6.91,overcast clouds
60,Goya,AR,-29.14,-59.2626,63.0,92,100,4.76,overcast clouds
61,Stephenville,US,32.2207,-98.2023,93.99,39,0,10.36,clear sky
62,Ponta Do Sol,PT,32.6667,-17.1,68.63,61,60,4.27,broken clouds
63,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,73,0,16.11,clear sky
64,Shetpe,KZ,44.1667,52.1167,52.41,75,11,21.5,few clouds
65,Pokhara,NP,28.2333,83.9833,66.07,72,37,5.57,scattered clouds
66,Mkushi,ZM,-13.6202,29.3939,59.07,87,27,3.58,scattered clouds
67,Beloha,MG,-25.1667,45.05,71.24,82,19,4.83,few clouds
68,Cabo Rojo,PR,18.0866,-67.1457,82.09,76,66,1.99,broken clouds
69,Kutum,SD,14.2,24.6667,75.2,16,65,10.4,broken clouds
70,Ribeira Grande,PT,38.5167,-28.7,61.54,65,38,4.59,scattered clouds
71,Punta Arenas,CL,-53.15,-70.9167,44.71,81,100,9.22,light rain
72,Taoudenni,ML,22.6783,-3.9836,91.38,11,0,9.53,clear sky
73,Longyearbyen,SJ,78.2186,15.6401,24.64,74,75,5.75,broken clouds
74,Rawson,AR,-43.3002,-65.1023,60.39,60,91,17.45,overcast clouds
75,San Juan Del Sur,NI,11.2529,-85.8705,89.82,62,40,0.0,scattered clouds
76,Rabo De Peixe,PT,37.8,-25.5833,67.28,78,75,11.5,broken clouds
77,Saint-Philippe,RE,-21.3585,55.7679,71.19,81,47,15.01,light rain
78,Hobyo,SO,5.3505,48.5268,82.6,79,21,17.78,few clouds
79,Laguna,US,38.421,-121.4238,78.44,54,0,12.66,clear sky
80,Abonnema,NG,4.7084,6.7931,77.25,88,100,1.63,overcast clouds
81,Luderitz,NA,-26.6481,15.1594,56.86,86,2,13.24,clear sky
82,Kushmurun,KZ,52.4503,64.6311,38.88,47,26,7.45,scattered clouds
